"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","921302"
"eastern cape","Pfizer","1355894"
"free state","Johnson & Johnson","488707"
"free state","Pfizer","682261"
"gauteng","Johnson & Johnson","1560053"
"gauteng","Pfizer","3938628"
"kwazulu-natal","Johnson & Johnson","1253219"
"kwazulu-natal","Pfizer","2003560"
"limpopo","Johnson & Johnson","1085364"
"limpopo","Pfizer","1055263"
"mpumalanga","Johnson & Johnson","835495"
"mpumalanga","Pfizer","582254"
"northern cape","Johnson & Johnson","216954"
"northern cape","Pfizer","228837"
"north west","Johnson & Johnson","716362"
"north west","Pfizer","628548"
"western cape","Johnson & Johnson","755229"
"western cape","Pfizer","2131652"
