"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","921057"
"eastern cape","Pfizer","1354862"
"free state","Johnson & Johnson","488633"
"free state","Pfizer","681918"
"gauteng","Johnson & Johnson","1559147"
"gauteng","Pfizer","3937268"
"kwazulu-natal","Johnson & Johnson","1252698"
"kwazulu-natal","Pfizer","2002635"
"limpopo","Johnson & Johnson","1084910"
"limpopo","Pfizer","1054528"
"mpumalanga","Johnson & Johnson","835099"
"mpumalanga","Pfizer","581820"
"northern cape","Johnson & Johnson","216911"
"northern cape","Pfizer","228710"
"north west","Johnson & Johnson","716217"
"north west","Pfizer","628238"
"western cape","Johnson & Johnson","754972"
"western cape","Pfizer","2131104"
