"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","913762"
"eastern cape","Pfizer","1330396"
"free state","Johnson & Johnson","485465"
"free state","Pfizer","669833"
"gauteng","Johnson & Johnson","1534846"
"gauteng","Pfizer","3893401"
"kwazulu-natal","Johnson & Johnson","1233325"
"kwazulu-natal","Pfizer","1967962"
"limpopo","Johnson & Johnson","1075769"
"limpopo","Pfizer","1036705"
"mpumalanga","Johnson & Johnson","819644"
"mpumalanga","Pfizer","567748"
"northern cape","Johnson & Johnson","214251"
"northern cape","Pfizer","224453"
"north west","Johnson & Johnson","711424"
"north west","Pfizer","619435"
"western cape","Johnson & Johnson","747698"
"western cape","Pfizer","2113953"
