"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","154689","55862","416942"
"EASTERN CAPE","12-17","Male","127099","39430","429096"
"FREE STATE","12-17","Female","93128","44392","161705"
"FREE STATE","12-17","Male","79254","33252","162847"
"GAUTENG","12-17","Female","217526","95742","649047"
"GAUTENG","12-17","Male","178767","73845","648920"
"KWAZULU-NATAL","12-17","Female","173445","73472","647510"
"KWAZULU-NATAL","12-17","Male","121932","47095","658202"
"LIMPOPO","12-17","Female","153033","52537","352420"
"LIMPOPO","12-17","Male","131873","39056","372427"
"MPUMALANGA","12-17","Female","79545","27091","257710"
"MPUMALANGA","12-17","Male","66269","19211","259479"
"NORTHERN CAPE","12-17","Female","19200","6688","69852"
"NORTHERN CAPE","12-17","Male","15326","4939","69047"
"NORTH WEST","12-17","Female","84398","30327","221385"
"NORTH WEST","12-17","Male","70276","22177","223092"
"WESTERN CAPE","12-17","Female","70875","28494","320269"
"WESTERN CAPE","12-17","Male","60684","23902","322848"
