"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","124709","27521","416942"
"EASTERN CAPE","12-17","Male","100387","18578","429096"
"FREE STATE","12-17","Female","83989","31550","161705"
"FREE STATE","12-17","Male","70754","22878","162847"
"GAUTENG","12-17","Female","197772","70941","649047"
"GAUTENG","12-17","Male","162177","55156","648920"
"KWAZULU-NATAL","12-17","Female","133390","37344","647510"
"KWAZULU-NATAL","12-17","Male","94238","25304","658202"
"LIMPOPO","12-17","Female","120987","32905","352420"
"LIMPOPO","12-17","Male","101123","24781","372427"
"MPUMALANGA","12-17","Female","64568","15803","257710"
"MPUMALANGA","12-17","Male","54115","11710","259479"
"NORTHERN CAPE","12-17","Female","13114","4164","69852"
"NORTHERN CAPE","12-17","Male","10732","3127","69047"
"NORTH WEST","12-17","Female","75966","20454","221385"
"NORTH WEST","12-17","Male","63456","14959","223092"
"WESTERN CAPE","12-17","Female","70194","25795","320269"
"WESTERN CAPE","12-17","Male","59469","21314","322848"
