"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","919426"
"eastern cape","Pfizer","1347080"
"free state","Johnson & Johnson","487966"
"free state","Pfizer","678334"
"gauteng","Johnson & Johnson","1552520"
"gauteng","Pfizer","3925265"
"kwazulu-natal","Johnson & Johnson","1249027"
"kwazulu-natal","Pfizer","1993595"
"limpopo","Johnson & Johnson","1082427"
"limpopo","Pfizer","1048865"
"mpumalanga","Johnson & Johnson","832246"
"mpumalanga","Pfizer","578124"
"northern cape","Johnson & Johnson","216358"
"northern cape","Pfizer","227745"
"north west","Johnson & Johnson","714876"
"north west","Pfizer","625580"
"western cape","Johnson & Johnson","752936"
"western cape","Pfizer","2126381"
