"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","159036","64753","416942"
"EASTERN CAPE","12-17","Male","131459","47159","429096"
"FREE STATE","12-17","Female","92510","45516","161705"
"FREE STATE","12-17","Male","78950","34303","162847"
"GAUTENG","12-17","Female","214045","96160","649047"
"GAUTENG","12-17","Male","176140","74537","648920"
"KWAZULU-NATAL","12-17","Female","174225","81377","647510"
"KWAZULU-NATAL","12-17","Male","122624","51752","658202"
"LIMPOPO","12-17","Female","156439","56158","352420"
"LIMPOPO","12-17","Male","134048","41636","372427"
"MPUMALANGA","12-17","Female","81173","30022","257710"
"MPUMALANGA","12-17","Male","67036","21036","259479"
"NORTHERN CAPE","12-17","Female","20200","8303","69852"
"NORTHERN CAPE","12-17","Male","16168","6146","69047"
"NORTH WEST","12-17","Female","82983","30368","221385"
"NORTH WEST","12-17","Male","69245","22462","223092"
"WESTERN CAPE","12-17","Female","71400","29215","320269"
"WESTERN CAPE","12-17","Male","61324","24597","322848"
