"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","916491"
"eastern cape","Pfizer","1337371"
"free state","Johnson & Johnson","486827"
"free state","Pfizer","673400"
"gauteng","Johnson & Johnson","1542854"
"gauteng","Pfizer","3906385"
"kwazulu-natal","Johnson & Johnson","1242002"
"kwazulu-natal","Pfizer","1979600"
"limpopo","Johnson & Johnson","1078456"
"limpopo","Pfizer","1041737"
"mpumalanga","Johnson & Johnson","827377"
"mpumalanga","Pfizer","572961"
"northern cape","Johnson & Johnson","215747"
"northern cape","Pfizer","226384"
"north west","Johnson & Johnson","713129"
"north west","Pfizer","622132"
"western cape","Johnson & Johnson","749995"
"western cape","Pfizer","2119204"
