"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","921847"
"eastern cape","Pfizer","1358451"
"free state","Johnson & Johnson","488876"
"free state","Pfizer","683198"
"gauteng","Johnson & Johnson","1562549"
"gauteng","Pfizer","3942362"
"kwazulu-natal","Johnson & Johnson","1254500"
"kwazulu-natal","Pfizer","2006106"
"limpopo","Johnson & Johnson","1086738"
"limpopo","Pfizer","1057138"
"mpumalanga","Johnson & Johnson","836429"
"mpumalanga","Pfizer","583267"
"northern cape","Johnson & Johnson","217206"
"northern cape","Pfizer","229153"
"north west","Johnson & Johnson","716852"
"north west","Pfizer","629427"
"western cape","Johnson & Johnson","755889"
"western cape","Pfizer","2133176"
