"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","127914","29732","416942"
"EASTERN CAPE","12-17","Male","102803","20092","429096"
"FREE STATE","12-17","Female","84817","32749","161705"
"FREE STATE","12-17","Male","71485","23794","162847"
"GAUTENG","12-17","Female","199136","73087","649047"
"GAUTENG","12-17","Male","163472","56890","648920"
"KWAZULU-NATAL","12-17","Female","135454","40457","647510"
"KWAZULU-NATAL","12-17","Male","95646","26971","658202"
"LIMPOPO","12-17","Female","122748","34195","352420"
"LIMPOPO","12-17","Male","102445","25706","372427"
"MPUMALANGA","12-17","Female","66486","16735","257710"
"MPUMALANGA","12-17","Male","55936","12319","259479"
"NORTHERN CAPE","12-17","Female","13274","4254","69852"
"NORTHERN CAPE","12-17","Male","10847","3161","69047"
"NORTH WEST","12-17","Female","76860","21570","221385"
"NORTH WEST","12-17","Male","64077","15815","223092"
"WESTERN CAPE","12-17","Female","70283","25999","320269"
"WESTERN CAPE","12-17","Male","59560","21516","322848"
