"province","district","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","AMATHOLE DM","12-17","Female","14540","5451","54013"
"EASTERN CAPE","AMATHOLE DM","12-17","Male","12371","4483","59147"
"EASTERN CAPE","BUFFALO CITY MM","12-17","Female","19203","10654","40374"
"EASTERN CAPE","BUFFALO CITY MM","12-17","Male","15211","7538","41449"
"EASTERN CAPE","JOE GQABI DM","12-17","Female","8488","3078","21796"
"EASTERN CAPE","JOE GQABI DM","12-17","Male","7500","2410","23762"
"EASTERN CAPE","SARAH BAARTMAN DM","12-17","Female","11167","6454","25499"
"EASTERN CAPE","SARAH BAARTMAN DM","12-17","Male","9428","4825","26199"
"FREE STATE","FEZILE DABI DM","12-17","Female","13636","5357","26752"
"FREE STATE","FEZILE DABI DM","12-17","Male","11202","3920","26768"
"FREE STATE","LEJWELEPUTSWA DM","12-17","Female","17776","6729","34380"
"FREE STATE","LEJWELEPUTSWA DM","12-17","Male","15038","4815","33735"
"FREE STATE","MANGAUNG MM","12-17","Female","26363","15783","45611"
"FREE STATE","MANGAUNG MM","12-17","Male","23318","12649","47218"
"FREE STATE","XHARIEP DM","12-17","Female","4247","1194","8183"
"FREE STATE","XHARIEP DM","12-17","Male","3474","814","8133"
"GAUTENG","EKURHULENI MM","12-17","Female","51364","21782","165897"
"GAUTENG","EKURHULENI MM","12-17","Male","42103","16759","165688"
"GAUTENG","SEDIBENG DM","12-17","Female","15285","6882","43340"
"GAUTENG","SEDIBENG DM","12-17","Male","12222","5206","46239"
"GAUTENG","WEST RAND DM","12-17","Female","19585","10292","41623"
"GAUTENG","WEST RAND DM","12-17","Male","16057","7804","41409"
"KWAZULU-NATAL","AMAJUBA DM","12-17","Female","6715","2889","33168"
"KWAZULU-NATAL","AMAJUBA DM","12-17","Male","4387","1796","33581"
"KWAZULU-NATAL","ETHEKWINI MM","12-17","Female","26121","12399","172176"
"KWAZULU-NATAL","ETHEKWINI MM","12-17","Male","22693","10553","180552"
"KWAZULU-NATAL","HARRY GWALA DM","12-17","Female","13291","7908","34875"
"KWAZULU-NATAL","HARRY GWALA DM","12-17","Male","10459","5743","34556"
"KWAZULU-NATAL","ILEMBE DM","12-17","Female","8831","4449","38682"
"KWAZULU-NATAL","ILEMBE DM","12-17","Male","5375","2482","39106"
"KWAZULU-NATAL","KING CETSHWAYO DM","12-17","Female","12640","5158","61538"
"KWAZULU-NATAL","KING CETSHWAYO DM","12-17","Male","8303","3162","61800"
"KWAZULU-NATAL","UGU DM","12-17","Female","13216","5690","51740"
"KWAZULU-NATAL","UGU DM","12-17","Male","8679","3194","52856"
"KWAZULU-NATAL","UMGUNGUNDLOVU DM","12-17","Female","14134","5778","60728"
"KWAZULU-NATAL","UMGUNGUNDLOVU DM","12-17","Male","10235","3824","59741"
"KWAZULU-NATAL","UMKHANYAKUDE DM","12-17","Female","20415","10298","47511"
"KWAZULU-NATAL","UMKHANYAKUDE DM","12-17","Male","12946","5421","45277"
"KWAZULU-NATAL","UMZINYATHI DM","12-17","Female","14863","6327","39331"
"KWAZULU-NATAL","UMZINYATHI DM","12-17","Male","9155","3444","39377"
"KWAZULU-NATAL","UTHUKELA DM","12-17","Female","15456","6968","46750"
"KWAZULU-NATAL","UTHUKELA DM","12-17","Male","10431","4096","48520"
"KWAZULU-NATAL","ZULULAND DM","12-17","Female","24072","12809","61011"
"KWAZULU-NATAL","ZULULAND DM","12-17","Male","17317","8107","62836"
"LIMPOPO","CAPRICORN DM","12-17","Female","37012","15501","81625"
"LIMPOPO","CAPRICORN DM","12-17","Male","31747","11716","86098"
"LIMPOPO","MOPANI DM","12-17","Female","37330","13060","71845"
"LIMPOPO","MOPANI DM","12-17","Male","30761","9446","76268"
"LIMPOPO","SEKHUKHUNE DM","12-17","Female","26342","10032","74350"
"LIMPOPO","SEKHUKHUNE DM","12-17","Male","25827","8424","78272"
"LIMPOPO","VHEMBE DM","12-17","Female","38150","12728","86602"
"LIMPOPO","VHEMBE DM","12-17","Male","30918","8782","91753"
"LIMPOPO","WATERBERG DM","12-17","Female","17774","7010","37998"
"LIMPOPO","WATERBERG DM","12-17","Male","14886","5187","40036"
"MPUMALANGA","EHLANZENI DM","12-17","Female","47998","19908","106459"
"MPUMALANGA","EHLANZENI DM","12-17","Male","36763","13130","106460"
"MPUMALANGA","NKANGALA DM","12-17","Female","17074","6601","80945"
"MPUMALANGA","NKANGALA DM","12-17","Male","17695","5547","82708"
"NORTHERN CAPE","FRANCES BAARD DM","12-17","Female","7604","3723","22463"
"NORTHERN CAPE","FRANCES BAARD DM","12-17","Male","6319","2813","23371"
"NORTHERN CAPE","NAMAKWA DM","12-17","Female","1714","668","5781"
"NORTHERN CAPE","NAMAKWA DM","12-17","Male","1378","503","5620"
"NORTHERN CAPE","PIXLEY KA SEME DM","12-17","Female","3599","1593","11577"
"NORTHERN CAPE","PIXLEY KA SEME DM","12-17","Male","2751","1143","11573"
"NORTH WEST","BOJANALA PLATINUM DM","12-17","Female","32253","13462","88192"
"NORTH WEST","BOJANALA PLATINUM DM","12-17","Male","26762","9933","91106"
"NORTH WEST","NGAKA MODIRI MOLEMA DM","12-17","Female","21376","7498","56490"
"NORTH WEST","NGAKA MODIRI MOLEMA DM","12-17","Male","17830","5478","56280"
"WESTERN CAPE","CAPE WINELANDS DM","12-17","Female","9340","4121","44783"
"WESTERN CAPE","CAPE WINELANDS DM","12-17","Male","8187","3411","45341"
"WESTERN CAPE","CENTRAL KAROO DM","12-17","Female","814","383","4653"
"WESTERN CAPE","CENTRAL KAROO DM","12-17","Male","628","279","4028"
"WESTERN CAPE","GARDEN ROUTE DM","12-17","Female","6296","2568","31612"
"WESTERN CAPE","GARDEN ROUTE DM","12-17","Male","5335","1970","30675"
"WESTERN CAPE","OVERBERG DM","12-17","Female","3020","1006","13406"
"WESTERN CAPE","OVERBERG DM","12-17","Male","2382","776","13535"
"WESTERN CAPE","WEST COAST DM","12-17","Female","4181","1890","22541"
"WESTERN CAPE","WEST COAST DM","12-17","Male","3647","1436","22568"
