Unnamed: 0,visit_date,province,district,age_group,sex,vaccine_manufacturer,vaccine_rollout_phase,health_sector,first_dose_total,second_dose_total,booster_dose_total,immunocompromised_booster_dose_total,continuous_booster_dose_total,sisonke_booster_dose_total,individuals_vaccinated_total,individuals_fully_vaccinated_total,total_vaccines_administered,total_population
3480000,,Mpumalanga,Nkangala DM,35-49,Female,Johnson & Johnson,Sisonke,Public,8.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,9179.0
3480001,,Mpumalanga,Nkangala DM,35-49,Female,Johnson & Johnson,Sisonke,Public,8.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,23433.0
3480002,,Mpumalanga,Nkangala DM,35-49,Female,Johnson & Johnson,Sisonke,Public,8.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,33263.0
3480003,,Mpumalanga,Nkangala DM,35-49,Female,Johnson & Johnson,Sisonke,Public,8.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,37955.0
3480004,,Mpumalanga,Nkangala DM,35-49,Female,Johnson & Johnson,Sisonke,Public,8.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,53271.0
3480005,,Mpumalanga,Nkangala DM,35-49,Male,Johnson & Johnson,Sisonke,Private,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6684.0
3480006,,Mpumalanga,Nkangala DM,35-49,Male,Johnson & Johnson,Sisonke,Private,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11573.0
3480007,,Mpumalanga,Nkangala DM,35-49,Male,Johnson & Johnson,Sisonke,Private,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20408.0
3480008,,Mpumalanga,Nkangala DM,35-49,Male,Johnson & Johnson,Sisonke,Private,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,36063.0
3480009,,Mpumalanga,Nkangala DM,35-49,Male,Johnson & Johnson,Sisonke,Private,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,41012.0
3480010,,Mpumalanga,Nkangala DM,35-49,Male,Johnson & Johnson,Sisonke,Private,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,68021.0
3480011,,Mpumalanga,Nkangala DM,35-49,Male,Johnson & Johnson,Sisonke,Public,9.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,6684.0
3480012,,Mpumalanga,Nkangala DM,35-49,Male,Johnson & Johnson,Sisonke,Public,9.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,11573.0
3480013,,Mpumalanga,Nkangala DM,35-49,Male,Johnson & Johnson,Sisonke,Public,9.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,20408.0
3480014,,Mpumalanga,Nkangala DM,35-49,Male,Johnson & Johnson,Sisonke,Public,9.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,36063.0
3480015,,Mpumalanga,Nkangala DM,35-49,Male,Johnson & Johnson,Sisonke,Public,9.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,41012.0
3480016,,Mpumalanga,Nkangala DM,35-49,Male,Johnson & Johnson,Sisonke,Public,9.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,68021.0
3480017,,Mpumalanga,Nkangala DM,50-59,Female,Johnson & Johnson,National,Public,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2056.0
3480018,,Mpumalanga,Nkangala DM,50-59,Female,Johnson & Johnson,National,Public,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3559.0
3480019,,Mpumalanga,Nkangala DM,50-59,Female,Johnson & Johnson,National,Public,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10141.0
3480020,,Mpumalanga,Nkangala DM,50-59,Female,Johnson & Johnson,National,Public,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,12793.0
3480021,,Mpumalanga,Nkangala DM,50-59,Female,Johnson & Johnson,National,Public,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17367.0
3480022,,Mpumalanga,Nkangala DM,50-59,Female,Johnson & Johnson,National,Public,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20820.0
3480023,,Mpumalanga,Nkangala DM,50-59,Female,Johnson & Johnson,Sisonke,Public,9.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,2056.0
3480024,,Mpumalanga,Nkangala DM,50-59,Female,Johnson & Johnson,Sisonke,Public,9.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,3559.0
3480025,,Mpumalanga,Nkangala DM,50-59,Female,Johnson & Johnson,Sisonke,Public,9.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,10141.0
3480026,,Mpumalanga,Nkangala DM,50-59,Female,Johnson & Johnson,Sisonke,Public,9.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,12793.0
3480027,,Mpumalanga,Nkangala DM,50-59,Female,Johnson & Johnson,Sisonke,Public,9.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,17367.0
3480028,,Mpumalanga,Nkangala DM,50-59,Female,Johnson & Johnson,Sisonke,Public,9.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,20820.0
3480029,,Mpumalanga,Nkangala DM,50-59,Male,Johnson & Johnson,Sisonke,Private,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1394.0
3480030,,Mpumalanga,Nkangala DM,50-59,Male,Johnson & Johnson,Sisonke,Private,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2855.0
3480031,,Mpumalanga,Nkangala DM,50-59,Male,Johnson & Johnson,Sisonke,Private,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6981.0
3480032,,Mpumalanga,Nkangala DM,50-59,Male,Johnson & Johnson,Sisonke,Private,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11122.0
3480033,,Mpumalanga,Nkangala DM,50-59,Male,Johnson & Johnson,Sisonke,Private,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,12578.0
3480034,,Mpumalanga,Nkangala DM,50-59,Male,Johnson & Johnson,Sisonke,Private,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21346.0
3480035,,Mpumalanga,Nkangala DM,50-59,Male,Johnson & Johnson,Sisonke,Public,6.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,1394.0
3480036,,Mpumalanga,Nkangala DM,50-59,Male,Johnson & Johnson,Sisonke,Public,6.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,2855.0
3480037,,Mpumalanga,Nkangala DM,50-59,Male,Johnson & Johnson,Sisonke,Public,6.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6981.0
3480038,,Mpumalanga,Nkangala DM,50-59,Male,Johnson & Johnson,Sisonke,Public,6.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,11122.0
3480039,,Mpumalanga,Nkangala DM,50-59,Male,Johnson & Johnson,Sisonke,Public,6.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,12578.0
3480040,,Mpumalanga,Nkangala DM,50-59,Male,Johnson & Johnson,Sisonke,Public,6.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,21346.0
3480041,,Mpumalanga,Nkangala DM,60+,Female,Johnson & Johnson,National,Public,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,2666.0
3480042,,Mpumalanga,Nkangala DM,60+,Female,Johnson & Johnson,National,Public,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3868.0
3480043,,Mpumalanga,Nkangala DM,60+,Female,Johnson & Johnson,National,Public,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,11467.0
3480044,,Mpumalanga,Nkangala DM,60+,Female,Johnson & Johnson,National,Public,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,17115.0
3480045,,Mpumalanga,Nkangala DM,60+,Female,Johnson & Johnson,National,Public,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,17941.0
3480046,,Mpumalanga,Nkangala DM,60+,Female,Johnson & Johnson,National,Public,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,19278.0
3480047,,Mpumalanga,Nkangala DM,60+,Female,Johnson & Johnson,Sisonke,Public,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2666.0
3480048,,Mpumalanga,Nkangala DM,60+,Female,Johnson & Johnson,Sisonke,Public,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3868.0
3480049,,Mpumalanga,Nkangala DM,60+,Female,Johnson & Johnson,Sisonke,Public,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11467.0
3480050,,Mpumalanga,Nkangala DM,60+,Female,Johnson & Johnson,Sisonke,Public,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17115.0
3480051,,Mpumalanga,Nkangala DM,60+,Female,Johnson & Johnson,Sisonke,Public,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17941.0
3480052,,Mpumalanga,Nkangala DM,60+,Female,Johnson & Johnson,Sisonke,Public,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,19278.0
3480053,,Northern Cape,Frances Baard DM,18-34,Male,Johnson & Johnson,Sisonke,Public,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3060.0
3480054,,Northern Cape,Frances Baard DM,18-34,Male,Johnson & Johnson,Sisonke,Public,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6881.0
3480055,,Northern Cape,Frances Baard DM,18-34,Male,Johnson & Johnson,Sisonke,Public,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8146.0
