"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","922281"
"eastern cape","Pfizer","1360498"
"free state","Johnson & Johnson","489003"
"free state","Pfizer","684006"
"gauteng","Johnson & Johnson","1564479"
"gauteng","Pfizer","3945343"
"kwazulu-natal","Johnson & Johnson","1255467"
"kwazulu-natal","Pfizer","2008181"
"limpopo","Johnson & Johnson","1088175"
"limpopo","Pfizer","1058978"
"mpumalanga","Johnson & Johnson","837265"
"mpumalanga","Pfizer","584460"
"northern cape","Johnson & Johnson","217437"
"northern cape","Pfizer","229441"
"north west","Johnson & Johnson","717403"
"north west","Pfizer","630243"
"western cape","Johnson & Johnson","756371"
"western cape","Pfizer","2134349"
