"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","926027"
"eastern cape","Pfizer","1372173"
"free state","Johnson & Johnson","489667"
"free state","Pfizer","688018"
"gauteng","Johnson & Johnson","1576812"
"gauteng","Pfizer","3961673"
"kwazulu-natal","Johnson & Johnson","1260813"
"kwazulu-natal","Pfizer","2018074"
"limpopo","Johnson & Johnson","1092175"
"limpopo","Pfizer","1067136"
"mpumalanga","Johnson & Johnson","840856"
"mpumalanga","Pfizer","589054"
"northern cape","Johnson & Johnson","218429"
"northern cape","Pfizer","230978"
"north west","Johnson & Johnson","720092"
"north west","Pfizer","634631"
"western cape","Johnson & Johnson","759654"
"western cape","Pfizer","2140451"
