"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","921057"
"eastern cape","Pfizer","1354593"
"free state","Johnson & Johnson","488632"
"free state","Pfizer","681756"
"gauteng","Johnson & Johnson","1559095"
"gauteng","Pfizer","3936861"
"kwazulu-natal","Johnson & Johnson","1252680"
"kwazulu-natal","Pfizer","2002315"
"limpopo","Johnson & Johnson","1084886"
"limpopo","Pfizer","1054322"
"mpumalanga","Johnson & Johnson","835092"
"mpumalanga","Pfizer","581674"
"northern cape","Johnson & Johnson","216907"
"northern cape","Pfizer","228685"
"north west","Johnson & Johnson","716172"
"north west","Pfizer","628121"
"western cape","Johnson & Johnson","754966"
"western cape","Pfizer","2130943"
