"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","920644"
"eastern cape","Pfizer","1352640"
"free state","Johnson & Johnson","488509"
"free state","Pfizer","680955"
"gauteng","Johnson & Johnson","1557479"
"gauteng","Pfizer","3934204"
"kwazulu-natal","Johnson & Johnson","1251725"
"kwazulu-natal","Pfizer","2000199"
"limpopo","Johnson & Johnson","1084189"
"limpopo","Pfizer","1053001"
"mpumalanga","Johnson & Johnson","834308"
"mpumalanga","Pfizer","580773"
"northern cape","Johnson & Johnson","216688"
"northern cape","Pfizer","228403"
"north west","Johnson & Johnson","715816"
"north west","Pfizer","627461"
"western cape","Johnson & Johnson","754536"
"western cape","Pfizer","2129894"
