"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","160984","67319","416942"
"EASTERN CAPE","12-17","Male","133554","49666","429096"
"FREE STATE","12-17","Female","92058","45593","161705"
"FREE STATE","12-17","Male","78642","34491","162847"
"GAUTENG","12-17","Female","212612","95831","649047"
"GAUTENG","12-17","Male","175098","74393","648920"
"KWAZULU-NATAL","12-17","Female","173039","81683","647510"
"KWAZULU-NATAL","12-17","Male","121895","52164","658202"
"LIMPOPO","12-17","Female","156505","57178","352420"
"LIMPOPO","12-17","Male","134126","42556","372427"
"MPUMALANGA","12-17","Female","81353","31335","257710"
"MPUMALANGA","12-17","Male","67144","21889","259479"
"NORTHERN CAPE","12-17","Female","20346","8587","69852"
"NORTHERN CAPE","12-17","Male","16260","6357","69047"
"NORTH WEST","12-17","Female","82311","30222","221385"
"NORTH WEST","12-17","Male","68778","22452","223092"
"WESTERN CAPE","12-17","Female","71197","29472","320269"
"WESTERN CAPE","12-17","Male","61223","24795","322848"
