"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","922724"
"eastern cape","Pfizer","1362373"
"free state","Johnson & Johnson","489132"
"free state","Pfizer","684779"
"gauteng","Johnson & Johnson","1566730"
"gauteng","Pfizer","3948398"
"kwazulu-natal","Johnson & Johnson","1256455"
"kwazulu-natal","Pfizer","2010279"
"limpopo","Johnson & Johnson","1089043"
"limpopo","Pfizer","1060518"
"mpumalanga","Johnson & Johnson","838074"
"mpumalanga","Pfizer","585520"
"northern cape","Johnson & Johnson","217661"
"northern cape","Pfizer","229730"
"north west","Johnson & Johnson","717922"
"north west","Pfizer","630993"
"western cape","Johnson & Johnson","756952"
"western cape","Pfizer","2135422"
