"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","914955"
"eastern cape","Pfizer","1333912"
"free state","Johnson & Johnson","486150"
"free state","Pfizer","671551"
"gauteng","Johnson & Johnson","1538713"
"gauteng","Pfizer","3899904"
"kwazulu-natal","Johnson & Johnson","1237083"
"kwazulu-natal","Pfizer","1973584"
"limpopo","Johnson & Johnson","1076791"
"limpopo","Pfizer","1038985"
"mpumalanga","Johnson & Johnson","822925"
"mpumalanga","Pfizer","569950"
"northern cape","Johnson & Johnson","214919"
"northern cape","Pfizer","225363"
"north west","Johnson & Johnson","712210"
"north west","Pfizer","620765"
"western cape","Johnson & Johnson","748779"
"western cape","Pfizer","2116346"
