"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","154321","55992","416942"
"EASTERN CAPE","12-17","Male","126796","39534","429096"
"FREE STATE","12-17","Female","92905","44463","161705"
"FREE STATE","12-17","Male","79090","33307","162847"
"GAUTENG","12-17","Female","217017","96058","649047"
"GAUTENG","12-17","Male","178330","74115","648920"
"KWAZULU-NATAL","12-17","Female","173340","74007","647510"
"KWAZULU-NATAL","12-17","Male","121847","47369","658202"
"LIMPOPO","12-17","Female","152727","52754","352420"
"LIMPOPO","12-17","Male","131610","39231","372427"
"MPUMALANGA","12-17","Female","79483","27194","257710"
"MPUMALANGA","12-17","Male","66197","19290","259479"
"NORTHERN CAPE","12-17","Female","19271","6807","69852"
"NORTHERN CAPE","12-17","Male","15373","5022","69047"
"NORTH WEST","12-17","Female","84154","30314","221385"
"NORTH WEST","12-17","Male","70099","22212","223092"
"WESTERN CAPE","12-17","Female","70605","28580","320269"
"WESTERN CAPE","12-17","Male","60504","23990","322848"
