"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","922982"
"eastern cape","Pfizer","1363490"
"free state","Johnson & Johnson","489229"
"free state","Pfizer","685198"
"gauteng","Johnson & Johnson","1568072"
"gauteng","Pfizer","3950168"
"kwazulu-natal","Johnson & Johnson","1257103"
"kwazulu-natal","Pfizer","2011460"
"limpopo","Johnson & Johnson","1089690"
"limpopo","Pfizer","1061417"
"mpumalanga","Johnson & Johnson","838514"
"mpumalanga","Pfizer","586148"
"northern cape","Johnson & Johnson","217809"
"northern cape","Pfizer","229895"
"north west","Johnson & Johnson","718268"
"north west","Pfizer","631475"
"western cape","Johnson & Johnson","757341"
"western cape","Pfizer","2136227"
