"province","age_group","sex","total_number_individuals_vaccinated","population"
"EASTERN CAPE","18-34","Female","393501","839479"
"EASTERN CAPE","18-34","Male","296706","854468"
"EASTERN CAPE","35-49","Female","369697","586430"
"EASTERN CAPE","35-49","Male","251476","522727"
"EASTERN CAPE","50-59","Female","236543","320585"
"EASTERN CAPE","50-59","Male","149069","196960"
"EASTERN CAPE","60+","Female","365708","517296"
"EASTERN CAPE","60+","Male","219593","261598"
"EASTERN CAPE","Unidentified","Female","300",""
"EASTERN CAPE","Unidentified","Male","73",""
"FREE STATE","18-34","Female","231235","410210"
"FREE STATE","18-34","Male","175941","419145"
"FREE STATE","35-49","Female","194112","283918"
"FREE STATE","35-49","Male","160053","266941"
"FREE STATE","50-59","Female","105321","140470"
"FREE STATE","50-59","Male","81965","105617"
"FREE STATE","60+","Female","137530","178195"
"FREE STATE","60+","Male","86659","110025"
"FREE STATE","Unidentified","Female","84",""
"FREE STATE","Unidentified","Male","48",""
"GAUTENG","18-34","Female","987630","2584852"
"GAUTENG","18-34","Male","843545","2611302"
"GAUTENG","35-49","Female","1000428","1659380"
"GAUTENG","35-49","Male","935535","1782603"
"GAUTENG","50-59","Female","442969","675158"
"GAUTENG","50-59","Male","423563","655342"
"GAUTENG","60+","Female","495721","745260"
"GAUTENG","60+","Male","379817","597429"
"GAUTENG","Unidentified","Female","288",""
"GAUTENG","Unidentified","Male","167",""
"KWAZULU-NATAL","18-34","Female","636749","1707989"
"KWAZULU-NATAL","18-34","Male","437052","1725158"
"KWAZULU-NATAL","35-49","Female","573938","1071255"
"KWAZULU-NATAL","35-49","Male","412919","951364"
"KWAZULU-NATAL","50-59","Female","301210","492136"
"KWAZULU-NATAL","50-59","Male","202797","316845"
"KWAZULU-NATAL","60+","Female","445320","624115"
"KWAZULU-NATAL","60+","Male","253052","330933"
"KWAZULU-NATAL","Unidentified","Female","356",""
"KWAZULU-NATAL","Unidentified","Male","137",""
"LIMPOPO","18-34","Female","429500","818804"
"LIMPOPO","18-34","Male","292174","833104"
"LIMPOPO","35-49","Female","376319","573264"
"LIMPOPO","35-49","Male","248955","493423"
"LIMPOPO","50-59","Female","199578","265501"
"LIMPOPO","50-59","Male","133754","165831"
"LIMPOPO","60+","Female","295360","372555"
"LIMPOPO","60+","Male","170632","173319"
"LIMPOPO","Unidentified","Female","608",""
"LIMPOPO","Unidentified","Male","86",""
"MPUMALANGA","18-34","Female","274300","681710"
"MPUMALANGA","18-34","Male","233840","729028"
"MPUMALANGA","35-49","Female","240254","451254"
"MPUMALANGA","35-49","Male","212289","457785"
"MPUMALANGA","50-59","Female","117821","197794"
"MPUMALANGA","50-59","Male","95550","151183"
"MPUMALANGA","60+","Female","143633","224305"
"MPUMALANGA","60+","Male","103763","146461"
"MPUMALANGA","Unidentified","Female","158",""
"MPUMALANGA","Unidentified","Male","52",""
"NORTHERN CAPE","18-34","Female","78212","174695"
"NORTHERN CAPE","18-34","Male","73916","182300"
"NORTHERN CAPE","35-49","Female","69379","118328"
"NORTHERN CAPE","35-49","Male","73326","131923"
"NORTHERN CAPE","50-59","Female","37268","57823"
"NORTHERN CAPE","50-59","Male","34689","49198"
"NORTHERN CAPE","60+","Female","45875","80820"
"NORTHERN CAPE","60+","Male","34180","52458"
"NORTHERN CAPE","Unidentified","Female","14",""
"NORTHERN CAPE","Unidentified","Male","8",""
"NORTH WEST","18-34","Female","243024","547199"
"NORTH WEST","18-34","Male","200839","611287"
"NORTH WEST","35-49","Female","216176","386831"
"NORTH WEST","35-49","Male","216201","437698"
"NORTH WEST","50-59","Female","109579","173790"
"NORTH WEST","50-59","Male","108957","168889"
"NORTH WEST","60+","Female","143853","213393"
"NORTH WEST","60+","Male","108706","154160"
"NORTH WEST","Unidentified","Female","124",""
"NORTH WEST","Unidentified","Male","110",""
"WESTERN CAPE","18-34","Female","522376","1010156"
"WESTERN CAPE","18-34","Male","454117","1047625"
"WESTERN CAPE","35-49","Female","477320","744325"
"WESTERN CAPE","35-49","Male","420257","767488"
"WESTERN CAPE","50-59","Female","244865","368383"
"WESTERN CAPE","50-59","Male","212219","315766"
"WESTERN CAPE","60+","Female","320756","422288"
"WESTERN CAPE","60+","Male","238572","300872"
"WESTERN CAPE","Unidentified","Female","116",""
"WESTERN CAPE","Unidentified","Male","69",""
