"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","926946"
"eastern cape","Pfizer","1376982"
"free state","Johnson & Johnson","489913"
"free state","Pfizer","689754"
"gauteng","Johnson & Johnson","1580786"
"gauteng","Pfizer","3968734"
"kwazulu-natal","Johnson & Johnson","1262434"
"kwazulu-natal","Pfizer","2021809"
"limpopo","Johnson & Johnson","1093288"
"limpopo","Pfizer","1070616"
"mpumalanga","Johnson & Johnson","842086"
"mpumalanga","Pfizer","590766"
"northern cape","Johnson & Johnson","218649"
"northern cape","Pfizer","231504"
"north west","Johnson & Johnson","720907"
"north west","Pfizer","636582"
"western cape","Johnson & Johnson","760865"
"western cape","Pfizer","2143249"
