"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","155741","59260","416942"
"EASTERN CAPE","12-17","Male","128078","42329","429096"
"FREE STATE","12-17","Female","92879","45161","161705"
"FREE STATE","12-17","Male","79113","33988","162847"
"GAUTENG","12-17","Female","216032","96101","649047"
"GAUTENG","12-17","Male","177648","74326","648920"
"KWAZULU-NATAL","12-17","Female","174086","78003","647510"
"KWAZULU-NATAL","12-17","Male","122460","49859","658202"
"LIMPOPO","12-17","Female","154326","54028","352420"
"LIMPOPO","12-17","Male","132553","40123","372427"
"MPUMALANGA","12-17","Female","80395","28261","257710"
"MPUMALANGA","12-17","Male","66647","19892","259479"
"NORTHERN CAPE","12-17","Female","20006","7898","69852"
"NORTHERN CAPE","12-17","Male","15979","5819","69047"
"NORTH WEST","12-17","Female","83838","30429","221385"
"NORTH WEST","12-17","Male","69908","22371","223092"
"WESTERN CAPE","12-17","Female","70669","28727","320269"
"WESTERN CAPE","12-17","Male","60547","24127","322848"
