"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","917112"
"eastern cape","Pfizer","1338872"
"free state","Johnson & Johnson","487066"
"free state","Pfizer","674413"
"gauteng","Johnson & Johnson","1544707"
"gauteng","Pfizer","3909766"
"kwazulu-natal","Johnson & Johnson","1243740"
"kwazulu-natal","Pfizer","1982132"
"limpopo","Johnson & Johnson","1079088"
"limpopo","Pfizer","1042720"
"mpumalanga","Johnson & Johnson","828569"
"mpumalanga","Pfizer","573994"
"northern cape","Johnson & Johnson","215925"
"northern cape","Pfizer","226643"
"north west","Johnson & Johnson","713425"
"north west","Pfizer","622707"
"western cape","Johnson & Johnson","750478"
"western cape","Pfizer","2120410"
