"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","133283","34878","416942"
"EASTERN CAPE","12-17","Male","107287","23501","429096"
"FREE STATE","12-17","Female","86888","35520","161705"
"FREE STATE","12-17","Male","73450","25923","162847"
"GAUTENG","12-17","Female","202103","78149","649047"
"GAUTENG","12-17","Male","165972","60610","648920"
"KWAZULU-NATAL","12-17","Female","140790","46160","647510"
"KWAZULU-NATAL","12-17","Male","99331","30220","658202"
"LIMPOPO","12-17","Female","126613","37138","352420"
"LIMPOPO","12-17","Male","105706","27721","372427"
"MPUMALANGA","12-17","Female","68840","18163","257710"
"MPUMALANGA","12-17","Male","58171","13367","259479"
"NORTHERN CAPE","12-17","Female","14039","4405","69852"
"NORTHERN CAPE","12-17","Male","11438","3280","69047"
"NORTH WEST","12-17","Female","78324","23612","221385"
"NORTH WEST","12-17","Male","65129","17184","223092"
"WESTERN CAPE","12-17","Female","70251","26372","320269"
"WESTERN CAPE","12-17","Male","59748","21908","322848"
