"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","890841"
"eastern cape","Pfizer","1302823"
"free state","Johnson & Johnson","474712"
"free state","Pfizer","654476"
"gauteng","Johnson & Johnson","1482182"
"gauteng","Pfizer","3819144"
"kwazulu-natal","Johnson & Johnson","1192686"
"kwazulu-natal","Pfizer","1907430"
"limpopo","Johnson & Johnson","1051785"
"limpopo","Pfizer","1013852"
"mpumalanga","Johnson & Johnson","786058"
"mpumalanga","Pfizer","550718"
"northern cape","Johnson & Johnson","209072"
"northern cape","Pfizer","217947"
"north west","Johnson & Johnson","696686"
"north west","Pfizer","605489"
"western cape","Johnson & Johnson","732094"
"western cape","Pfizer","2088160"
