"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","925413"
"eastern cape","Pfizer","1370702"
"free state","Johnson & Johnson","489593"
"free state","Pfizer","687596"
"gauteng","Johnson & Johnson","1575412"
"gauteng","Pfizer","3959891"
"kwazulu-natal","Johnson & Johnson","1260352"
"kwazulu-natal","Pfizer","2017188"
"limpopo","Johnson & Johnson","1091889"
"limpopo","Pfizer","1066409"
"mpumalanga","Johnson & Johnson","840537"
"mpumalanga","Pfizer","588650"
"northern cape","Johnson & Johnson","218373"
"northern cape","Pfizer","230828"
"north west","Johnson & Johnson","719881"
"north west","Pfizer","634165"
"western cape","Johnson & Johnson","759306"
"western cape","Pfizer","2139881"
