"province","age_group","sex","total_number_individuals_vaccinated","population"
"EASTERN CAPE","18-34","Female","384684","839479"
"EASTERN CAPE","18-34","Male","288239","854468"
"EASTERN CAPE","35-49","Female","366358","586430"
"EASTERN CAPE","35-49","Male","247937","522727"
"EASTERN CAPE","50-59","Female","234607","320585"
"EASTERN CAPE","50-59","Male","147287","196960"
"EASTERN CAPE","60+","Female","357889","517296"
"EASTERN CAPE","60+","Male","214998","261598"
"EASTERN CAPE","Unidentified","Female","308",""
"EASTERN CAPE","Unidentified","Male","91",""
"FREE STATE","18-34","Female","227684","410210"
"FREE STATE","18-34","Male","173274","419145"
"FREE STATE","35-49","Female","191913","283918"
"FREE STATE","35-49","Male","157968","266941"
"FREE STATE","50-59","Female","104148","140470"
"FREE STATE","50-59","Male","80922","105617"
"FREE STATE","60+","Female","134147","178195"
"FREE STATE","60+","Male","84188","110025"
"FREE STATE","Unidentified","Female","92",""
"FREE STATE","Unidentified","Male","56",""
"GAUTENG","18-34","Female","979846","2584852"
"GAUTENG","18-34","Male","833995","2611302"
"GAUTENG","35-49","Female","986081","1659380"
"GAUTENG","35-49","Male","921230","1782603"
"GAUTENG","50-59","Female","435494","675158"
"GAUTENG","50-59","Male","414972","655342"
"GAUTENG","60+","Female","483142","745260"
"GAUTENG","60+","Male","368870","597429"
"GAUTENG","Unidentified","Female","304",""
"GAUTENG","Unidentified","Male","188",""
"KWAZULU-NATAL","18-34","Female","620381","1707989"
"KWAZULU-NATAL","18-34","Male","426742","1725158"
"KWAZULU-NATAL","35-49","Female","564418","1071255"
"KWAZULU-NATAL","35-49","Male","405405","951364"
"KWAZULU-NATAL","50-59","Female","297882","492136"
"KWAZULU-NATAL","50-59","Male","199770","316845"
"KWAZULU-NATAL","60+","Female","435760","624115"
"KWAZULU-NATAL","60+","Male","247073","330933"
"KWAZULU-NATAL","Unidentified","Female","371",""
"KWAZULU-NATAL","Unidentified","Male","140",""
"LIMPOPO","18-34","Female","422994","818804"
"LIMPOPO","18-34","Male","285026","833104"
"LIMPOPO","35-49","Female","370826","573264"
"LIMPOPO","35-49","Male","244685","493423"
"LIMPOPO","50-59","Female","197552","265501"
"LIMPOPO","50-59","Male","132472","165831"
"LIMPOPO","60+","Female","290024","372555"
"LIMPOPO","60+","Male","166903","173319"
"LIMPOPO","Unidentified","Female","615",""
"LIMPOPO","Unidentified","Male","92",""
"MPUMALANGA","18-34","Female","267792","681710"
"MPUMALANGA","18-34","Male","225727","729028"
"MPUMALANGA","35-49","Female","235183","451254"
"MPUMALANGA","35-49","Male","206019","457785"
"MPUMALANGA","50-59","Female","115618","197794"
"MPUMALANGA","50-59","Male","93756","151183"
"MPUMALANGA","60+","Female","140065","224305"
"MPUMALANGA","60+","Male","100883","146461"
"MPUMALANGA","Unidentified","Female","155",""
"MPUMALANGA","Unidentified","Male","60",""
"NORTHERN CAPE","18-34","Female","76816","174695"
"NORTHERN CAPE","18-34","Male","72752","182300"
"NORTHERN CAPE","35-49","Female","68281","118328"
"NORTHERN CAPE","35-49","Male","71890","131923"
"NORTHERN CAPE","50-59","Female","36722","57823"
"NORTHERN CAPE","50-59","Male","34016","49198"
"NORTHERN CAPE","60+","Female","44502","80820"
"NORTHERN CAPE","60+","Male","33045","52458"
"NORTHERN CAPE","Unidentified","Female","20",""
"NORTHERN CAPE","Unidentified","Male","7",""
"NORTH WEST","18-34","Female","241176","547199"
"NORTH WEST","18-34","Male","199024","611287"
"NORTH WEST","35-49","Female","213872","386831"
"NORTH WEST","35-49","Male","213786","437698"
"NORTH WEST","50-59","Female","108310","173790"
"NORTH WEST","50-59","Male","107479","168889"
"NORTH WEST","60+","Female","140399","213393"
"NORTH WEST","60+","Male","105696","154160"
"NORTH WEST","Unidentified","Female","127",""
"NORTH WEST","Unidentified","Male","117",""
"WESTERN CAPE","18-34","Female","521209","1010156"
"WESTERN CAPE","18-34","Male","452283","1047625"
"WESTERN CAPE","35-49","Female","472888","744325"
"WESTERN CAPE","35-49","Male","415510","767488"
"WESTERN CAPE","50-59","Female","242357","368383"
"WESTERN CAPE","50-59","Male","209533","315766"
"WESTERN CAPE","60+","Female","313513","422288"
"WESTERN CAPE","60+","Male","232696","300872"
"WESTERN CAPE","Unidentified","Female","117",""
"WESTERN CAPE","Unidentified","Male","75",""
