"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","913248"
"eastern cape","Pfizer","1329150"
"free state","Johnson & Johnson","485149"
"free state","Pfizer","669243"
"gauteng","Johnson & Johnson","1533153"
"gauteng","Pfizer","3890969"
"kwazulu-natal","Johnson & Johnson","1232147"
"kwazulu-natal","Pfizer","1965795"
"limpopo","Johnson & Johnson","1075302"
"limpopo","Pfizer","1035887"
"mpumalanga","Johnson & Johnson","818286"
"mpumalanga","Pfizer","566972"
"northern cape","Johnson & Johnson","213966"
"northern cape","Pfizer","224085"
"north west","Johnson & Johnson","711024"
"north west","Pfizer","618962"
"western cape","Johnson & Johnson","747186"
"western cape","Pfizer","2112995"
