"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","154751","55794","416942"
"EASTERN CAPE","12-17","Male","127112","39364","429096"
"FREE STATE","12-17","Female","93198","44311","161705"
"FREE STATE","12-17","Male","79311","33196","162847"
"GAUTENG","12-17","Female","217609","95546","649047"
"GAUTENG","12-17","Male","178781","73686","648920"
"KWAZULU-NATAL","12-17","Female","173367","73311","647510"
"KWAZULU-NATAL","12-17","Male","121913","47000","658202"
"LIMPOPO","12-17","Female","153065","52383","352420"
"LIMPOPO","12-17","Male","131882","38973","372427"
"MPUMALANGA","12-17","Female","79510","27050","257710"
"MPUMALANGA","12-17","Male","66233","19172","259479"
"NORTHERN CAPE","12-17","Female","19177","6620","69852"
"NORTHERN CAPE","12-17","Male","15299","4886","69047"
"NORTH WEST","12-17","Female","84465","30305","221385"
"NORTH WEST","12-17","Male","70298","22140","223092"
"WESTERN CAPE","12-17","Female","70918","28436","320269"
"WESTERN CAPE","12-17","Male","60692","23849","322848"
