"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","918850"
"eastern cape","Pfizer","1344564"
"free state","Johnson & Johnson","487690"
"free state","Pfizer","677071"
"gauteng","Johnson & Johnson","1550191"
"gauteng","Pfizer","3920267"
"kwazulu-natal","Johnson & Johnson","1247726"
"kwazulu-natal","Pfizer","1990575"
"limpopo","Johnson & Johnson","1081235"
"limpopo","Pfizer","1046836"
"mpumalanga","Johnson & Johnson","831248"
"mpumalanga","Pfizer","576791"
"northern cape","Johnson & Johnson","216276"
"northern cape","Pfizer","227423"
"north west","Johnson & Johnson","714443"
"north west","Pfizer","624662"
"western cape","Johnson & Johnson","752151"
"western cape","Pfizer","2124562"
