"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","158452","63196","416942"
"EASTERN CAPE","12-17","Male","130981","45945","429096"
"FREE STATE","12-17","Female","92678","45402","161705"
"FREE STATE","12-17","Male","79005","34251","162847"
"GAUTENG","12-17","Female","214685","96090","649047"
"GAUTENG","12-17","Male","176629","74433","648920"
"KWAZULU-NATAL","12-17","Female","174552","80739","647510"
"KWAZULU-NATAL","12-17","Male","122795","51338","658202"
"LIMPOPO","12-17","Female","156058","55501","352420"
"LIMPOPO","12-17","Male","133749","41172","372427"
"MPUMALANGA","12-17","Female","81029","29322","257710"
"MPUMALANGA","12-17","Male","66994","20626","259479"
"NORTHERN CAPE","12-17","Female","20260","8203","69852"
"NORTHERN CAPE","12-17","Male","16180","6041","69047"
"NORTH WEST","12-17","Female","83310","30373","221385"
"NORTH WEST","12-17","Male","69462","22391","223092"
"WESTERN CAPE","12-17","Female","71267","29036","320269"
"WESTERN CAPE","12-17","Male","61167","24396","322848"
