"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","917843"
"eastern cape","Pfizer","1341396"
"free state","Johnson & Johnson","487346"
"free state","Pfizer","675682"
"gauteng","Johnson & Johnson","1547286"
"gauteng","Pfizer","3914736"
"kwazulu-natal","Johnson & Johnson","1245776"
"kwazulu-natal","Pfizer","1986038"
"limpopo","Johnson & Johnson","1079968"
"limpopo","Pfizer","1044513"
"mpumalanga","Johnson & Johnson","829776"
"mpumalanga","Pfizer","575265"
"northern cape","Johnson & Johnson","216066"
"northern cape","Pfizer","226965"
"north west","Johnson & Johnson","713869"
"north west","Pfizer","623634"
"western cape","Johnson & Johnson","751180"
"western cape","Pfizer","2122266"
