"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","156860","61016","416942"
"EASTERN CAPE","12-17","Male","129156","43824","429096"
"FREE STATE","12-17","Female","92691","45249","161705"
"FREE STATE","12-17","Male","78973","34095","162847"
"GAUTENG","12-17","Female","215415","96089","649047"
"GAUTENG","12-17","Male","177142","74391","648920"
"KWAZULU-NATAL","12-17","Female","174212","79255","647510"
"KWAZULU-NATAL","12-17","Male","122591","50546","658202"
"LIMPOPO","12-17","Female","154953","54484","352420"
"LIMPOPO","12-17","Male","133029","40447","372427"
"MPUMALANGA","12-17","Female","80671","28724","257710"
"MPUMALANGA","12-17","Male","66755","20156","259479"
"NORTHERN CAPE","12-17","Female","20114","8047","69852"
"NORTHERN CAPE","12-17","Male","16055","5941","69047"
"NORTH WEST","12-17","Female","83573","30384","221385"
"NORTH WEST","12-17","Male","69719","22391","223092"
"WESTERN CAPE","12-17","Female","70705","28818","320269"
"WESTERN CAPE","12-17","Male","60660","24226","322848"
