"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","922455"
"eastern cape","Pfizer","1361240"
"free state","Johnson & Johnson","489061"
"free state","Pfizer","684232"
"gauteng","Johnson & Johnson","1565231"
"gauteng","Pfizer","3946175"
"kwazulu-natal","Johnson & Johnson","1255786"
"kwazulu-natal","Pfizer","2008757"
"limpopo","Johnson & Johnson","1088565"
"limpopo","Pfizer","1059552"
"mpumalanga","Johnson & Johnson","837574"
"mpumalanga","Pfizer","584770"
"northern cape","Johnson & Johnson","217511"
"northern cape","Pfizer","229512"
"north west","Johnson & Johnson","717563"
"north west","Pfizer","630435"
"western cape","Johnson & Johnson","756564"
"western cape","Pfizer","2134661"
