"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","154470","56762","416942"
"EASTERN CAPE","12-17","Male","126992","40280","429096"
"FREE STATE","12-17","Female","92781","44508","161705"
"FREE STATE","12-17","Male","79020","33407","162847"
"GAUTENG","12-17","Female","216643","96077","649047"
"GAUTENG","12-17","Male","178084","74250","648920"
"KWAZULU-NATAL","12-17","Female","173469","74844","647510"
"KWAZULU-NATAL","12-17","Male","121953","47801","658202"
"LIMPOPO","12-17","Female","152780","52969","352420"
"LIMPOPO","12-17","Male","131653","39396","372427"
"MPUMALANGA","12-17","Female","79591","27415","257710"
"MPUMALANGA","12-17","Male","66275","19425","259479"
"NORTHERN CAPE","12-17","Female","19555","7147","69852"
"NORTHERN CAPE","12-17","Male","15608","5290","69047"
"NORTH WEST","12-17","Female","84073","30416","221385"
"NORTH WEST","12-17","Male","70053","22316","223092"
"WESTERN CAPE","12-17","Female","70538","28696","320269"
"WESTERN CAPE","12-17","Male","60474","24077","322848"
