"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","915951"
"eastern cape","Pfizer","1336092"
"free state","Johnson & Johnson","486516"
"free state","Pfizer","672601"
"gauteng","Johnson & Johnson","1541002"
"gauteng","Pfizer","3903736"
"kwazulu-natal","Johnson & Johnson","1239922"
"kwazulu-natal","Pfizer","1977190"
"limpopo","Johnson & Johnson","1077670"
"limpopo","Pfizer","1040500"
"mpumalanga","Johnson & Johnson","825430"
"mpumalanga","Pfizer","571653"
"northern cape","Johnson & Johnson","215432"
"northern cape","Pfizer","226082"
"north west","Johnson & Johnson","712753"
"north west","Pfizer","621558"
"western cape","Johnson & Johnson","749533"
"western cape","Pfizer","2118181"
