"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","926660"
"eastern cape","Pfizer","1375102"
"free state","Johnson & Johnson","489836"
"free state","Pfizer","688918"
"gauteng","Johnson & Johnson","1579180"
"gauteng","Pfizer","3965269"
"kwazulu-natal","Johnson & Johnson","1261724"
"kwazulu-natal","Pfizer","2020066"
"limpopo","Johnson & Johnson","1092938"
"limpopo","Pfizer","1069100"
"mpumalanga","Johnson & Johnson","841584"
"mpumalanga","Pfizer","589939"
"northern cape","Johnson & Johnson","218557"
"northern cape","Pfizer","231269"
"north west","Johnson & Johnson","720536"
"north west","Pfizer","635635"
"western cape","Johnson & Johnson","760361"
"western cape","Pfizer","2141927"
