"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","889578"
"eastern cape","Pfizer","1301380"
"free state","Johnson & Johnson","474021"
"free state","Pfizer","653491"
"gauteng","Johnson & Johnson","1478803"
"gauteng","Pfizer","3814580"
"kwazulu-natal","Johnson & Johnson","1190351"
"kwazulu-natal","Pfizer","1904454"
"limpopo","Johnson & Johnson","1050096"
"limpopo","Pfizer","1012451"
"mpumalanga","Johnson & Johnson","784217"
"mpumalanga","Pfizer","549864"
"northern cape","Johnson & Johnson","208838"
"northern cape","Pfizer","217576"
"north west","Johnson & Johnson","695549"
"north west","Pfizer","604612"
"western cape","Johnson & Johnson","731301"
"western cape","Pfizer","2086593"
