"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","864117","0","155879","1019996"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","465154","0","95823","560977"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1436848","0","215112","1651960"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1165458","0","185327","1350785"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","1057503","0","160455","1217958"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","818354","0","132866","951220"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","208845","0","35656","244501"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","696220","0","117867","814087"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","664460","0","113653","778113"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60873","0","24222","85095"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24396","0","12198","36594"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137610","0","65388","202998"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94508","0","40023","134531"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34191","0","17016","51207"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21988","0","7152","29140"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9464","0","4455","13919"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23484","0","8966","32450"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94621","0","61527","156148"
"Pfizer","National","eastern cape","Adults","1369743","1153139","259337","2782219"
"Pfizer","National","eastern cape","12-17 Years","301883","127637","0","429520"
"Pfizer","National","free state","12-17 Years","167501","80117","0","247618"
"Pfizer","National","free state","Adults","687276","603620","146021","1436917"
"Pfizer","National","gauteng","12-17 Years","379857","167882","26","547765"
"Pfizer","National","gauteng","Adults","3958631","3430548","694552","8083731"
"Pfizer","National","kwazulu-natal","Adults","2016483","1677357","341464","4035304"
"Pfizer","National","kwazulu-natal","12-17 Years","288416","132153","12","420581"
"Pfizer","National","limpopo","Adults","1065934","893230","182378","2141542"
"Pfizer","National","limpopo","12-17 Years","291295","102257","2","393554"
"Pfizer","National","mpumalanga","12-17 Years","147783","56070","1","203854"
"Pfizer","National","mpumalanga","Adults","588383","484180","110410","1182973"
"Pfizer","National","northern cape","12-17 Years","37185","15884","0","53069"
"Pfizer","National","northern cape","Adults","230720","196796","37635","465151"
"Pfizer","National","north west","12-17 Years","148452","52379","4","200835"
"Pfizer","National","north west","Adults","633877","546971","115879","1296727"
"Pfizer","National","western cape","12-17 Years","129419","54588","3","184010"
"Pfizer","National","western cape","Adults","2139495","1878466","496681","4514642"
