"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","158092","62503","416942"
"EASTERN CAPE","12-17","Male","130510","45294","429096"
"FREE STATE","12-17","Female","92770","45372","161705"
"FREE STATE","12-17","Male","79085","34250","162847"
"GAUTENG","12-17","Female","215054","96149","649047"
"GAUTENG","12-17","Male","176882","74443","648920"
"KWAZULU-NATAL","12-17","Female","174651","80430","647510"
"KWAZULU-NATAL","12-17","Male","122846","51138","658202"
"LIMPOPO","12-17","Female","155905","55195","352420"
"LIMPOPO","12-17","Male","133666","41032","372427"
"MPUMALANGA","12-17","Female","80966","29062","257710"
"MPUMALANGA","12-17","Male","66941","20443","259479"
"NORTHERN CAPE","12-17","Female","20243","8159","69852"
"NORTHERN CAPE","12-17","Male","16168","6012","69047"
"NORTH WEST","12-17","Female","83485","30417","221385"
"NORTH WEST","12-17","Male","69592","22412","223092"
"WESTERN CAPE","12-17","Female","71168","28960","320269"
"WESTERN CAPE","12-17","Male","61099","24323","322848"
