"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","918486"
"eastern cape","Pfizer","1343259"
"free state","Johnson & Johnson","487516"
"free state","Pfizer","676478"
"gauteng","Johnson & Johnson","1549013"
"gauteng","Pfizer","3917981"
"kwazulu-natal","Johnson & Johnson","1247077"
"kwazulu-natal","Pfizer","1988915"
"limpopo","Johnson & Johnson","1080790"
"limpopo","Pfizer","1045909"
"mpumalanga","Johnson & Johnson","830618"
"mpumalanga","Pfizer","576158"
"northern cape","Johnson & Johnson","216182"
"northern cape","Pfizer","227250"
"north west","Johnson & Johnson","714207"
"north west","Pfizer","624163"
"western cape","Johnson & Johnson","751730"
"western cape","Pfizer","2123622"
