"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","158049","62493","416942"
"EASTERN CAPE","12-17","Male","130462","45286","429096"
"FREE STATE","12-17","Female","92742","45360","161705"
"FREE STATE","12-17","Male","79050","34239","162847"
"GAUTENG","12-17","Female","214951","96113","649047"
"GAUTENG","12-17","Male","176826","74428","648920"
"KWAZULU-NATAL","12-17","Female","174552","80394","647510"
"KWAZULU-NATAL","12-17","Male","122790","51118","658202"
"LIMPOPO","12-17","Female","155838","55172","352420"
"LIMPOPO","12-17","Male","133616","41013","372427"
"MPUMALANGA","12-17","Female","80929","29058","257710"
"MPUMALANGA","12-17","Male","66922","20446","259479"
"NORTHERN CAPE","12-17","Female","20236","8156","69852"
"NORTHERN CAPE","12-17","Male","16165","6012","69047"
"NORTH WEST","12-17","Female","83444","30420","221385"
"NORTH WEST","12-17","Male","69565","22411","223092"
"WESTERN CAPE","12-17","Female","71129","28946","320269"
"WESTERN CAPE","12-17","Male","61060","24311","322848"
