"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","918492"
"eastern cape","Pfizer","1343392"
"free state","Johnson & Johnson","487516"
"free state","Pfizer","676544"
"gauteng","Johnson & Johnson","1549065"
"gauteng","Pfizer","3918279"
"kwazulu-natal","Johnson & Johnson","1247100"
"kwazulu-natal","Pfizer","1989132"
"limpopo","Johnson & Johnson","1080805"
"limpopo","Pfizer","1046045"
"mpumalanga","Johnson & Johnson","830636"
"mpumalanga","Pfizer","576232"
"northern cape","Johnson & Johnson","216182"
"northern cape","Pfizer","227281"
"north west","Johnson & Johnson","714221"
"north west","Pfizer","624251"
"western cape","Johnson & Johnson","751746"
"western cape","Pfizer","2123714"
