"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","926947"
"eastern cape","Pfizer","1377117"
"free state","Johnson & Johnson","489913"
"free state","Pfizer","689829"
"gauteng","Johnson & Johnson","1580809"
"gauteng","Pfizer","3968944"
"kwazulu-natal","Johnson & Johnson","1262447"
"kwazulu-natal","Pfizer","2021936"
"limpopo","Johnson & Johnson","1093294"
"limpopo","Pfizer","1070730"
"mpumalanga","Johnson & Johnson","842092"
"mpumalanga","Pfizer","590825"
"northern cape","Johnson & Johnson","218649"
"northern cape","Pfizer","231523"
"north west","Johnson & Johnson","720912"
"north west","Pfizer","636648"
"western cape","Johnson & Johnson","760867"
"western cape","Pfizer","2143320"
