"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","922677"
"eastern cape","Pfizer","1361990"
"free state","Johnson & Johnson","489119"
"free state","Pfizer","684621"
"gauteng","Johnson & Johnson","1566396"
"gauteng","Pfizer","3947795"
"kwazulu-natal","Johnson & Johnson","1256302"
"kwazulu-natal","Pfizer","2009910"
"limpopo","Johnson & Johnson","1088887"
"limpopo","Pfizer","1060202"
"mpumalanga","Johnson & Johnson","837969"
"mpumalanga","Pfizer","585333"
"northern cape","Johnson & Johnson","217627"
"northern cape","Pfizer","229691"
"north west","Johnson & Johnson","717825"
"north west","Pfizer","630812"
"western cape","Johnson & Johnson","756862"
"western cape","Pfizer","2135219"
