"province","age_group","sex","total_number_individuals_vaccinated","population"
"EASTERN CAPE","18-34","Female","393913","839479"
"EASTERN CAPE","18-34","Male","297197","854468"
"EASTERN CAPE","35-49","Female","369772","586430"
"EASTERN CAPE","35-49","Male","251621","522727"
"EASTERN CAPE","50-59","Female","236629","320585"
"EASTERN CAPE","50-59","Male","149123","196960"
"EASTERN CAPE","60+","Female","366195","517296"
"EASTERN CAPE","60+","Male","219847","261598"
"EASTERN CAPE","Unidentified","Female","298",""
"EASTERN CAPE","Unidentified","Male","72",""
"FREE STATE","18-34","Female","231358","410210"
"FREE STATE","18-34","Male","176027","419145"
"FREE STATE","35-49","Female","194203","283918"
"FREE STATE","35-49","Male","160148","266941"
"FREE STATE","50-59","Female","105377","140470"
"FREE STATE","50-59","Male","82004","105617"
"FREE STATE","60+","Female","137712","178195"
"FREE STATE","60+","Male","86779","110025"
"FREE STATE","Unidentified","Female","84",""
"FREE STATE","Unidentified","Male","48",""
"GAUTENG","18-34","Female","988122","2584852"
"GAUTENG","18-34","Male","844007","2611302"
"GAUTENG","35-49","Female","1001159","1659380"
"GAUTENG","35-49","Male","936281","1782603"
"GAUTENG","50-59","Female","443329","675158"
"GAUTENG","50-59","Male","423908","655342"
"GAUTENG","60+","Female","496460","745260"
"GAUTENG","60+","Male","380475","597429"
"GAUTENG","Unidentified","Female","283",""
"GAUTENG","Unidentified","Male","167",""
"KWAZULU-NATAL","18-34","Female","637333","1707989"
"KWAZULU-NATAL","18-34","Male","437294","1725158"
"KWAZULU-NATAL","35-49","Female","574310","1071255"
"KWAZULU-NATAL","35-49","Male","413240","951364"
"KWAZULU-NATAL","50-59","Female","301350","492136"
"KWAZULU-NATAL","50-59","Male","202923","316845"
"KWAZULU-NATAL","60+","Female","445890","624115"
"KWAZULU-NATAL","60+","Male","253381","330933"
"KWAZULU-NATAL","Unidentified","Female","355",""
"KWAZULU-NATAL","Unidentified","Male","136",""
"LIMPOPO","18-34","Female","429980","818804"
"LIMPOPO","18-34","Male","292535","833104"
"LIMPOPO","35-49","Female","376736","573264"
"LIMPOPO","35-49","Male","249206","493423"
"LIMPOPO","50-59","Female","199672","265501"
"LIMPOPO","50-59","Male","133801","165831"
"LIMPOPO","60+","Female","295649","372555"
"LIMPOPO","60+","Male","170816","173319"
"LIMPOPO","Unidentified","Female","608",""
"LIMPOPO","Unidentified","Male","86",""
"MPUMALANGA","18-34","Female","274640","681710"
"MPUMALANGA","18-34","Male","234103","729028"
"MPUMALANGA","35-49","Female","240545","451254"
"MPUMALANGA","35-49","Male","212571","457785"
"MPUMALANGA","50-59","Female","117870","197794"
"MPUMALANGA","50-59","Male","95626","151183"
"MPUMALANGA","60+","Female","143838","224305"
"MPUMALANGA","60+","Male","103899","146461"
"MPUMALANGA","Unidentified","Female","158",""
"MPUMALANGA","Unidentified","Male","52",""
"NORTHERN CAPE","18-34","Female","78285","174695"
"NORTHERN CAPE","18-34","Male","73977","182300"
"NORTHERN CAPE","35-49","Female","69439","118328"
"NORTHERN CAPE","35-49","Male","73413","131923"
"NORTHERN CAPE","50-59","Female","37299","57823"
"NORTHERN CAPE","50-59","Male","34713","49198"
"NORTHERN CAPE","60+","Female","45940","80820"
"NORTHERN CAPE","60+","Male","34231","52458"
"NORTHERN CAPE","Unidentified","Female","13",""
"NORTHERN CAPE","Unidentified","Male","8",""
"NORTH WEST","18-34","Female","243121","547199"
"NORTH WEST","18-34","Male","200949","611287"
"NORTH WEST","35-49","Female","216364","386831"
"NORTH WEST","35-49","Male","216377","437698"
"NORTH WEST","50-59","Female","109673","173790"
"NORTH WEST","50-59","Male","109025","168889"
"NORTH WEST","60+","Female","144012","213393"
"NORTH WEST","60+","Male","108882","154160"
"NORTH WEST","Unidentified","Female","124",""
"NORTH WEST","Unidentified","Male","110",""
"WESTERN CAPE","18-34","Female","522346","1010156"
"WESTERN CAPE","18-34","Male","454177","1047625"
"WESTERN CAPE","35-49","Female","477483","744325"
"WESTERN CAPE","35-49","Male","420418","767488"
"WESTERN CAPE","50-59","Female","245053","368383"
"WESTERN CAPE","50-59","Male","212354","315766"
"WESTERN CAPE","60+","Female","321161","422288"
"WESTERN CAPE","60+","Male","238904","300872"
"WESTERN CAPE","Unidentified","Female","116",""
"WESTERN CAPE","Unidentified","Male","69",""
