"province","district","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","AMATHOLE DM","12-17","Female","14351","5174","54013"
"EASTERN CAPE","AMATHOLE DM","12-17","Male","12178","4267","59147"
"EASTERN CAPE","BUFFALO CITY MM","12-17","Female","19060","10473","40374"
"EASTERN CAPE","BUFFALO CITY MM","12-17","Male","14937","7300","41449"
"EASTERN CAPE","JOE GQABI DM","12-17","Female","8509","3093","21796"
"EASTERN CAPE","JOE GQABI DM","12-17","Male","7526","2421","23762"
"EASTERN CAPE","SARAH BAARTMAN DM","12-17","Female","11182","6449","25499"
"EASTERN CAPE","SARAH BAARTMAN DM","12-17","Male","9438","4807","26199"
"FREE STATE","FEZILE DABI DM","12-17","Female","13699","5372","26752"
"FREE STATE","FEZILE DABI DM","12-17","Male","11227","3931","26768"
"FREE STATE","LEJWELEPUTSWA DM","12-17","Female","17881","6758","34380"
"FREE STATE","LEJWELEPUTSWA DM","12-17","Male","15105","4832","33735"
"FREE STATE","MANGAUNG MM","12-17","Female","26465","15789","45611"
"FREE STATE","MANGAUNG MM","12-17","Male","23423","12635","47218"
"FREE STATE","XHARIEP DM","12-17","Female","4275","1196","8183"
"FREE STATE","XHARIEP DM","12-17","Male","3498","817","8133"
"GAUTENG","EKURHULENI MM","12-17","Female","51642","21894","165897"
"GAUTENG","EKURHULENI MM","12-17","Male","42293","16811","165688"
"GAUTENG","SEDIBENG DM","12-17","Female","15382","6923","43340"
"GAUTENG","SEDIBENG DM","12-17","Male","12283","5232","46239"
"GAUTENG","WEST RAND DM","12-17","Female","19654","10307","41623"
"GAUTENG","WEST RAND DM","12-17","Male","16121","7809","41409"
"KWAZULU-NATAL","AMAJUBA DM","12-17","Female","6759","2906","33168"
"KWAZULU-NATAL","AMAJUBA DM","12-17","Male","4409","1802","33581"
"KWAZULU-NATAL","ETHEKWINI MM","12-17","Female","26283","12498","172176"
"KWAZULU-NATAL","ETHEKWINI MM","12-17","Male","22800","10582","180552"
"KWAZULU-NATAL","HARRY GWALA DM","12-17","Female","13350","7910","34875"
"KWAZULU-NATAL","HARRY GWALA DM","12-17","Male","10503","5761","34556"
"KWAZULU-NATAL","ILEMBE DM","12-17","Female","8890","4482","38682"
"KWAZULU-NATAL","ILEMBE DM","12-17","Male","5407","2490","39106"
"KWAZULU-NATAL","KING CETSHWAYO DM","12-17","Female","12709","5184","61538"
"KWAZULU-NATAL","KING CETSHWAYO DM","12-17","Male","8349","3176","61800"
"KWAZULU-NATAL","UGU DM","12-17","Female","13268","5697","51740"
"KWAZULU-NATAL","UGU DM","12-17","Male","8703","3184","52856"
"KWAZULU-NATAL","UMGUNGUNDLOVU DM","12-17","Female","14172","5782","60728"
"KWAZULU-NATAL","UMGUNGUNDLOVU DM","12-17","Male","10227","3817","59741"
"KWAZULU-NATAL","UMKHANYAKUDE DM","12-17","Female","20497","10328","47511"
"KWAZULU-NATAL","UMKHANYAKUDE DM","12-17","Male","13009","5434","45277"
"KWAZULU-NATAL","UMZINYATHI DM","12-17","Female","14929","6349","39331"
"KWAZULU-NATAL","UMZINYATHI DM","12-17","Male","9209","3459","39377"
"KWAZULU-NATAL","UTHUKELA DM","12-17","Female","15564","7012","46750"
"KWAZULU-NATAL","UTHUKELA DM","12-17","Male","10503","4113","48520"
"KWAZULU-NATAL","ZULULAND DM","12-17","Female","24211","12879","61011"
"KWAZULU-NATAL","ZULULAND DM","12-17","Male","17406","8135","62836"
"LIMPOPO","CAPRICORN DM","12-17","Female","36615","15310","81625"
"LIMPOPO","CAPRICORN DM","12-17","Male","31492","11530","86098"
"LIMPOPO","MOPANI DM","12-17","Female","37194","12881","71845"
"LIMPOPO","MOPANI DM","12-17","Male","30600","9265","76268"
"LIMPOPO","SEKHUKHUNE DM","12-17","Female","26422","10046","74350"
"LIMPOPO","SEKHUKHUNE DM","12-17","Male","25913","8450","78272"
"LIMPOPO","VHEMBE DM","12-17","Female","38298","12779","86602"
"LIMPOPO","VHEMBE DM","12-17","Male","31008","8808","91753"
"LIMPOPO","WATERBERG DM","12-17","Female","17613","6943","37998"
"LIMPOPO","WATERBERG DM","12-17","Male","14724","5139","40036"
"MPUMALANGA","EHLANZENI DM","12-17","Female","47818","19400","106459"
"MPUMALANGA","EHLANZENI DM","12-17","Male","36537","12734","106460"
"MPUMALANGA","NKANGALA DM","12-17","Female","17178","6623","80945"
"MPUMALANGA","NKANGALA DM","12-17","Male","17822","5568","82708"
"NORTHERN CAPE","FRANCES BAARD DM","12-17","Female","7604","3655","22463"
"NORTHERN CAPE","FRANCES BAARD DM","12-17","Male","6316","2790","23371"
"NORTHERN CAPE","NAMAKWA DM","12-17","Female","1720","669","5781"
"NORTHERN CAPE","NAMAKWA DM","12-17","Male","1386","505","5620"
"NORTHERN CAPE","PIXLEY KA SEME DM","12-17","Female","3622","1602","11577"
"NORTHERN CAPE","PIXLEY KA SEME DM","12-17","Male","2756","1144","11573"
"NORTH WEST","BOJANALA PLATINUM DM","12-17","Female","32334","13496","88192"
"NORTH WEST","BOJANALA PLATINUM DM","12-17","Male","26791","9914","91106"
"NORTH WEST","NGAKA MODIRI MOLEMA DM","12-17","Female","21473","7502","56490"
"NORTH WEST","NGAKA MODIRI MOLEMA DM","12-17","Male","17881","5487","56280"
"WESTERN CAPE","CAPE WINELANDS DM","12-17","Female","9277","4020","44783"
"WESTERN CAPE","CAPE WINELANDS DM","12-17","Male","8089","3328","45341"
"WESTERN CAPE","CENTRAL KAROO DM","12-17","Female","820","385","4653"
"WESTERN CAPE","CENTRAL KAROO DM","12-17","Male","634","284","4028"
