"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","143736","42586","416942"
"EASTERN CAPE","12-17","Male","116332","29083","429096"
"FREE STATE","12-17","Female","89811","38978","161705"
"FREE STATE","12-17","Male","76084","28683","162847"
"GAUTENG","12-17","Female","208057","85647","649047"
"GAUTENG","12-17","Male","170641","65866","648920"
"KWAZULU-NATAL","12-17","Female","150845","56262","647510"
"KWAZULU-NATAL","12-17","Male","106054","35930","658202"
"LIMPOPO","12-17","Female","135005","41787","352420"
"LIMPOPO","12-17","Male","113059","30822","372427"
"MPUMALANGA","12-17","Female","73202","21008","257710"
"MPUMALANGA","12-17","Male","61275","15273","259479"
"NORTHERN CAPE","12-17","Female","16005","4924","69852"
"NORTHERN CAPE","12-17","Male","12858","3694","69047"
"NORTH WEST","12-17","Female","81186","26221","221385"
"NORTH WEST","12-17","Male","67215","19010","223092"
"WESTERN CAPE","12-17","Female","70523","26974","320269"
"WESTERN CAPE","12-17","Male","59964","22416","322848"
