"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","898580"
"eastern cape","Pfizer","1310484"
"free state","Johnson & Johnson","478201"
"free state","Pfizer","658950"
"gauteng","Johnson & Johnson","1497986"
"gauteng","Pfizer","3840902"
"kwazulu-natal","Johnson & Johnson","1204281"
"kwazulu-natal","Pfizer","1923530"
"limpopo","Johnson & Johnson","1059488"
"limpopo","Pfizer","1019975"
"mpumalanga","Johnson & Johnson","795066"
"mpumalanga","Pfizer","555136"
"northern cape","Johnson & Johnson","210526"
"northern cape","Pfizer","219564"
"north west","Johnson & Johnson","701883"
"north west","Pfizer","609207"
"western cape","Johnson & Johnson","736779"
"western cape","Pfizer","2095586"
