"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","922777"
"eastern cape","Pfizer","1362614"
"free state","Johnson & Johnson","489140"
"free state","Pfizer","684894"
"gauteng","Johnson & Johnson","1567030"
"gauteng","Pfizer","3948808"
"kwazulu-natal","Johnson & Johnson","1256576"
"kwazulu-natal","Pfizer","2010538"
"limpopo","Johnson & Johnson","1089174"
"limpopo","Pfizer","1060724"
"mpumalanga","Johnson & Johnson","838167"
"mpumalanga","Pfizer","585648"
"northern cape","Johnson & Johnson","217719"
"northern cape","Pfizer","229755"
"north west","Johnson & Johnson","718002"
"north west","Pfizer","631123"
"western cape","Johnson & Johnson","757025"
"western cape","Pfizer","2135583"
