"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","921592"
"eastern cape","Pfizer","1357474"
"free state","Johnson & Johnson","488803"
"free state","Pfizer","682848"
"gauteng","Johnson & Johnson","1561526"
"gauteng","Pfizer","3940876"
"kwazulu-natal","Johnson & Johnson","1253991"
"kwazulu-natal","Pfizer","2005114"
"limpopo","Johnson & Johnson","1086057"
"limpopo","Pfizer","1056413"
"mpumalanga","Johnson & Johnson","836035"
"mpumalanga","Pfizer","582888"
"northern cape","Johnson & Johnson","217102"
"northern cape","Pfizer","229019"
"north west","Johnson & Johnson","716621"
"north west","Pfizer","629109"
"western cape","Johnson & Johnson","755608"
"western cape","Pfizer","2132508"
