"province","age_group","sex","total_number_individuals_vaccinated","population"
"EASTERN CAPE","18-34","Female","392710","839479"
"EASTERN CAPE","18-34","Male","295812","854468"
"EASTERN CAPE","35-49","Female","369464","586430"
"EASTERN CAPE","35-49","Male","251173","522727"
"EASTERN CAPE","50-59","Female","236477","320585"
"EASTERN CAPE","50-59","Male","148974","196960"
"EASTERN CAPE","60+","Female","364955","517296"
"EASTERN CAPE","60+","Male","219122","261598"
"EASTERN CAPE","Unidentified","Female","303",""
"EASTERN CAPE","Unidentified","Male","76",""
"FREE STATE","18-34","Female","231000","410210"
"FREE STATE","18-34","Male","175747","419145"
"FREE STATE","35-49","Female","193980","283918"
"FREE STATE","35-49","Male","159957","266941"
"FREE STATE","50-59","Female","105259","140470"
"FREE STATE","50-59","Male","81914","105617"
"FREE STATE","60+","Female","137240","178195"
"FREE STATE","60+","Male","86420","110025"
"FREE STATE","Unidentified","Female","86",""
"FREE STATE","Unidentified","Male","48",""
"GAUTENG","18-34","Female","986836","2584852"
"GAUTENG","18-34","Male","842712","2611302"
"GAUTENG","35-49","Female","999176","1659380"
"GAUTENG","35-49","Male","934480","1782603"
"GAUTENG","50-59","Female","442401","675158"
"GAUTENG","50-59","Male","422923","655342"
"GAUTENG","60+","Female","494594","745260"
"GAUTENG","60+","Male","378819","597429"
"GAUTENG","Unidentified","Female","291",""
"GAUTENG","Unidentified","Male","170",""
"KWAZULU-NATAL","18-34","Female","635703","1707989"
"KWAZULU-NATAL","18-34","Male","436531","1725158"
"KWAZULU-NATAL","35-49","Female","573359","1071255"
"KWAZULU-NATAL","35-49","Male","412387","951364"
"KWAZULU-NATAL","50-59","Female","301029","492136"
"KWAZULU-NATAL","50-59","Male","202615","316845"
"KWAZULU-NATAL","60+","Female","444474","624115"
"KWAZULU-NATAL","60+","Male","252505","330933"
"KWAZULU-NATAL","Unidentified","Female","363",""
"KWAZULU-NATAL","Unidentified","Male","139",""
"LIMPOPO","18-34","Female","428315","818804"
"LIMPOPO","18-34","Male","291206","833104"
"LIMPOPO","35-49","Female","375631","573264"
"LIMPOPO","35-49","Male","248433","493423"
"LIMPOPO","50-59","Female","199421","265501"
"LIMPOPO","50-59","Male","133687","165831"
"LIMPOPO","60+","Female","294835","372555"
"LIMPOPO","60+","Male","170248","173319"
"LIMPOPO","Unidentified","Female","608",""
"LIMPOPO","Unidentified","Male","86",""
"MPUMALANGA","18-34","Female","273816","681710"
"MPUMALANGA","18-34","Male","233308","729028"
"MPUMALANGA","35-49","Female","239847","451254"
"MPUMALANGA","35-49","Male","211839","457785"
"MPUMALANGA","50-59","Female","117651","197794"
"MPUMALANGA","50-59","Male","95456","151183"
"MPUMALANGA","60+","Female","143321","224305"
"MPUMALANGA","60+","Male","103474","146461"
"MPUMALANGA","Unidentified","Female","158",""
"MPUMALANGA","Unidentified","Male","53",""
"NORTHERN CAPE","18-34","Female","78087","174695"
"NORTHERN CAPE","18-34","Male","73761","182300"
"NORTHERN CAPE","35-49","Female","69312","118328"
"NORTHERN CAPE","35-49","Male","73199","131923"
"NORTHERN CAPE","50-59","Female","37257","57823"
"NORTHERN CAPE","50-59","Male","34649","49198"
"NORTHERN CAPE","60+","Female","45749","80820"
"NORTHERN CAPE","60+","Male","34084","52458"
"NORTHERN CAPE","Unidentified","Female","15",""
"NORTHERN CAPE","Unidentified","Male","8",""
"NORTH WEST","18-34","Female","242761","547199"
"NORTH WEST","18-34","Male","200503","611287"
"NORTH WEST","35-49","Female","215974","386831"
"NORTH WEST","35-49","Male","215976","437698"
"NORTH WEST","50-59","Female","109480","173790"
"NORTH WEST","50-59","Male","108822","168889"
"NORTH WEST","60+","Female","143530","213393"
"NORTH WEST","60+","Male","108449","154160"
"NORTH WEST","Unidentified","Female","124",""
"NORTH WEST","Unidentified","Male","111",""
"WESTERN CAPE","18-34","Female","522287","1010156"
"WESTERN CAPE","18-34","Male","454036","1047625"
"WESTERN CAPE","35-49","Female","476920","744325"
"WESTERN CAPE","35-49","Male","419828","767488"
"WESTERN CAPE","50-59","Female","244726","368383"
"WESTERN CAPE","50-59","Male","212058","315766"
"WESTERN CAPE","60+","Female","320080","422288"
"WESTERN CAPE","60+","Male","237996","300872"
"WESTERN CAPE","Unidentified","Female","116",""
"WESTERN CAPE","Unidentified","Male","69",""
