"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","154659","55923","416942"
"EASTERN CAPE","12-17","Male","127073","39465","429096"
"FREE STATE","12-17","Female","93130","44419","161705"
"FREE STATE","12-17","Male","79269","33269","162847"
"GAUTENG","12-17","Female","217493","95871","649047"
"GAUTENG","12-17","Male","178701","73939","648920"
"KWAZULU-NATAL","12-17","Female","173461","73668","647510"
"KWAZULU-NATAL","12-17","Male","121920","47190","658202"
"LIMPOPO","12-17","Female","153009","52602","352420"
"LIMPOPO","12-17","Male","131855","39118","372427"
"MPUMALANGA","12-17","Female","79524","27116","257710"
"MPUMALANGA","12-17","Male","66263","19223","259479"
"NORTHERN CAPE","12-17","Female","19217","6714","69852"
"NORTHERN CAPE","12-17","Male","15339","4962","69047"
"NORTH WEST","12-17","Female","84365","30333","221385"
"NORTH WEST","12-17","Male","70246","22185","223092"
"WESTERN CAPE","12-17","Female","70826","28527","320269"
"WESTERN CAPE","12-17","Male","60648","23934","322848"
