"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","914131"
"eastern cape","Pfizer","1331310"
"free state","Johnson & Johnson","485678"
"free state","Pfizer","670270"
"gauteng","Johnson & Johnson","1535940"
"gauteng","Pfizer","3895026"
"kwazulu-natal","Johnson & Johnson","1234315"
"kwazulu-natal","Pfizer","1969351"
"limpopo","Johnson & Johnson","1076044"
"limpopo","Pfizer","1037265"
"mpumalanga","Johnson & Johnson","820401"
"mpumalanga","Pfizer","568175"
"northern cape","Johnson & Johnson","214442"
"northern cape","Pfizer","224713"
"north west","Johnson & Johnson","711651"
"north west","Pfizer","619713"
"western cape","Johnson & Johnson","747981"
"western cape","Pfizer","2114596"
