"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","883870"
"eastern cape","Pfizer","1295862"
"free state","Johnson & Johnson","470766"
"free state","Pfizer","649689"
"gauteng","Johnson & Johnson","1465821"
"gauteng","Pfizer","3795766"
"kwazulu-natal","Johnson & Johnson","1181991"
"kwazulu-natal","Pfizer","1893456"
"limpopo","Johnson & Johnson","1044365"
"limpopo","Pfizer","1007863"
"mpumalanga","Johnson & Johnson","776471"
"mpumalanga","Pfizer","545963"
"northern cape","Johnson & Johnson","207768"
"northern cape","Pfizer","216410"
"north west","Johnson & Johnson","691030"
"north west","Pfizer","601205"
"western cape","Johnson & Johnson","727031"
"western cape","Pfizer","2080010"
