"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","124349","27110","416942"
"EASTERN CAPE","12-17","Male","100058","18296","429096"
"FREE STATE","12-17","Female","83809","31329","161705"
"FREE STATE","12-17","Male","70605","22708","162847"
"GAUTENG","12-17","Female","197377","70370","649047"
"GAUTENG","12-17","Male","161854","54711","648920"
"KWAZULU-NATAL","12-17","Female","133121","36898","647510"
"KWAZULU-NATAL","12-17","Male","94053","25076","658202"
"LIMPOPO","12-17","Female","120698","32642","352420"
"LIMPOPO","12-17","Male","100798","24569","372427"
"MPUMALANGA","12-17","Female","64166","15643","257710"
"MPUMALANGA","12-17","Male","53654","11521","259479"
"NORTHERN CAPE","12-17","Female","13115","4158","69852"
"NORTHERN CAPE","12-17","Male","10732","3124","69047"
"NORTH WEST","12-17","Female","75685","20279","221385"
"NORTH WEST","12-17","Male","63281","14821","223092"
"WESTERN CAPE","12-17","Female","70180","25749","320269"
"WESTERN CAPE","12-17","Male","59424","21276","322848"
