"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","917851"
"eastern cape","Pfizer","1341507"
"free state","Johnson & Johnson","487347"
"free state","Pfizer","675738"
"gauteng","Johnson & Johnson","1547304"
"gauteng","Pfizer","3914884"
"kwazulu-natal","Johnson & Johnson","1245795"
"kwazulu-natal","Pfizer","1986195"
"limpopo","Johnson & Johnson","1079968"
"limpopo","Pfizer","1044622"
"mpumalanga","Johnson & Johnson","829799"
"mpumalanga","Pfizer","575318"
"northern cape","Johnson & Johnson","216066"
"northern cape","Pfizer","226977"
"north west","Johnson & Johnson","713881"
"north west","Pfizer","623704"
"western cape","Johnson & Johnson","751190"
"western cape","Pfizer","2122329"
