"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","156851","61019","416942"
"EASTERN CAPE","12-17","Male","129159","43832","429096"
"FREE STATE","12-17","Female","92663","45237","161705"
"FREE STATE","12-17","Male","78945","34084","162847"
"GAUTENG","12-17","Female","215341","96063","649047"
"GAUTENG","12-17","Male","177092","74372","648920"
"KWAZULU-NATAL","12-17","Female","174134","79287","647510"
"KWAZULU-NATAL","12-17","Male","122556","50567","658202"
"LIMPOPO","12-17","Female","154884","54465","352420"
"LIMPOPO","12-17","Male","132992","40439","372427"
"MPUMALANGA","12-17","Female","80646","28719","257710"
"MPUMALANGA","12-17","Male","66732","20147","259479"
"NORTHERN CAPE","12-17","Female","20106","8045","69852"
"NORTHERN CAPE","12-17","Male","16051","5939","69047"
"NORTH WEST","12-17","Female","83545","30379","221385"
"NORTH WEST","12-17","Male","69690","22384","223092"
"WESTERN CAPE","12-17","Female","70669","28804","320269"
"WESTERN CAPE","12-17","Male","60641","24220","322848"
