"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","885038"
"eastern cape","Pfizer","1296865"
"free state","Johnson & Johnson","471551"
"free state","Pfizer","650578"
"gauteng","Johnson & Johnson","1468468"
"gauteng","Pfizer","3799331"
"kwazulu-natal","Johnson & Johnson","1183672"
"kwazulu-natal","Pfizer","1895611"
"limpopo","Johnson & Johnson","1045394"
"limpopo","Pfizer","1008717"
"mpumalanga","Johnson & Johnson","778256"
"mpumalanga","Pfizer","546885"
"northern cape","Johnson & Johnson","208024"
"northern cape","Pfizer","216638"
"north west","Johnson & Johnson","691952"
"north west","Pfizer","601896"
"western cape","Johnson & Johnson","728002"
"western cape","Pfizer","2081468"
