"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","125814","28328","416942"
"EASTERN CAPE","12-17","Male","101198","19138","429096"
"FREE STATE","12-17","Female","84205","32001","161705"
"FREE STATE","12-17","Male","70947","23176","162847"
"GAUTENG","12-17","Female","198164","71588","649047"
"GAUTENG","12-17","Male","162555","55722","648920"
"KWAZULU-NATAL","12-17","Female","133912","38352","647510"
"KWAZULU-NATAL","12-17","Male","94528","25848","658202"
"LIMPOPO","12-17","Female","121570","33324","352420"
"LIMPOPO","12-17","Male","101583","25060","372427"
"MPUMALANGA","12-17","Female","65234","16134","257710"
"MPUMALANGA","12-17","Male","54833","11924","259479"
"NORTHERN CAPE","12-17","Female","13123","4181","69852"
"NORTHERN CAPE","12-17","Male","10729","3132","69047"
"NORTH WEST","12-17","Female","76176","20783","221385"
"NORTH WEST","12-17","Male","63612","15227","223092"
"WESTERN CAPE","12-17","Female","70242","25841","320269"
"WESTERN CAPE","12-17","Male","59482","21356","322848"
