"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","926286"
"eastern cape","Pfizer","1373001"
"free state","Johnson & Johnson","489710"
"free state","Pfizer","688287"
"gauteng","Johnson & Johnson","1577537"
"gauteng","Pfizer","3962767"
"kwazulu-natal","Johnson & Johnson","1261115"
"kwazulu-natal","Pfizer","2018694"
"limpopo","Johnson & Johnson","1092430"
"limpopo","Pfizer","1067680"
"mpumalanga","Johnson & Johnson","841041"
"mpumalanga","Pfizer","589314"
"northern cape","Johnson & Johnson","218468"
"northern cape","Pfizer","231059"
"north west","Johnson & Johnson","720222"
"north west","Pfizer","634946"
"western cape","Johnson & Johnson","759862"
"western cape","Pfizer","2140924"
