"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","926532"
"eastern cape","Pfizer","1374355"
"free state","Johnson & Johnson","489784"
"free state","Pfizer","688642"
"gauteng","Johnson & Johnson","1578603"
"gauteng","Pfizer","3964346"
"kwazulu-natal","Johnson & Johnson","1261496"
"kwazulu-natal","Pfizer","2019564"
"limpopo","Johnson & Johnson","1092752"
"limpopo","Pfizer","1068515"
"mpumalanga","Johnson & Johnson","841386"
"mpumalanga","Pfizer","589673"
"northern cape","Johnson & Johnson","218525"
"northern cape","Pfizer","231200"
"north west","Johnson & Johnson","720439"
"north west","Pfizer","635376"
"western cape","Johnson & Johnson","760182"
"western cape","Pfizer","2141565"
